title,class
"A Multi­Layered, XML­Based Approach to the Integration of Linguis­ tic and Semantic Annotations",RI
"Case-Based Reasoning for Candidate List Extraction in a Marketing Domain Michael Fagan, Konrad Bloor",CBR
"MANIFOLD COMPOSITIONS, MUSIC VISUALIZATION, AND SCIENTIFIC SONIFICATION IN AN IMMERSIVE VIRTUAL-REALITY ENVIRONMENT",SON
"Panorama: A Portable, Extensible Parallel Debugger",SON
"The SENSEVAL­2 Panel on Domains, Topics and Senses",RI
"The Var se System, Hybrid Auditory Interfaces, and Satellite-Ground Control: Using Auditory Icons and SoniÞcation in a Complex, Supervisory Control System",SON
"University of Glasgow at the Web track of TREC 2002 Vassilis Plachouras, Iadh Ounis, Gianni Amati  , and C.J. Van Rijsbergen",RI
"WebSound: a generic Web sonification tool, and its application to an auditory Web browser for blind and visually impaired users",SON
3D GRAPHICS TOOLS FOR SOUND COLLECTIONS,RI
A Case-Based Reasoning Approach to Collaborative Filtering,CBR
A Haptic Back Display for Attentional and Directional Cueing,SON
A Multivalued Conditional Logic with Probabilistic Interpretation for Causal Decision Theory,RI
A Series of Three Mixed Reality Workshops: Sounding Out Sound in Mixed Reality Environment,SON
A Sonification Enhanced Navigation Tool,SON
A Tool for Range Sensing and Environment Discovery for the Blind,SON
A Virtual World for an Autonomous Underwater Vehicle,SON
A WHISPER IN THE WOODS AN AMBIENT SOUNDSCAPE FOR PERIPHERAL AWARENESS OF REMOTE PROCESSES,SON
A model for interaction in exploratory sonification displays,SON
A new approach to clustering,RI
A-Life and Musical Composition: A Brief Survey,SON
AUDIO-ENHANCED COLLABORATION AT AN INTERACTIVE ELECTRONIC WHITEBOARD,SON
AUDIO-HAPTIC INTERNET BROWSER AND ASSOCIATED TOOLS FOR BLIND AND VISUALLY IMPAIRED COMPUTER USERS,SON
Adaptive Rapid Serial Visual Presentation,SON
An Architecture for Spatial Audio Servers,SON
An Auditory Display System for Aiding Interjoint Coordination,SON
An Integrated Approach to Motion and Sound,SON
