title,class
Knowledge Discovery in Databases: An Overview,ILP
A Product Customization Module Based on Adaptation Operators for CBR Systems in E-Commerce Environments,CBR
PRODIGY/ANALOGY: Analogical Reasoning in General Problem Solving,CBR
Competence-Guided Case-Base Editing Techniques,CBR
Probabilistic Indexing for Case-Based Prediction,CBR
An Engineering Approach for Troubleshooting Case Bases,CBR
Top-down Induct ion of Logic Programs from Incomplete Samples ,ILP
A Method for Open­Vocabulary Speech­Driven Text Retrieval,RI
Using Case-Based Reasoning for Argumentation with Multiple Viewpoints,CBR
A Logical Representation for Relevance Criteria,CBR
Learning Multilingual Morphology with CLOG,ILP
Structural Similarity as Guidance in Case-Based Design ,CBR
How Case-Based Reasoning and Cooperative Query Answering Techniques Support RICAD?,CBR
"The SENSEVAL­2 Panel on Domains, Topics and Senses",RI
A Case-Based Reasoner Adaptive to Different Cognitive Tasks,CBR
One­way Functions are Essential for Single­Server Private Information Retrieval,RI
Using Logical Decision Trees for Clustering,ILP
CBR and Machine Learning for Combustion System Design,CBR
PRIME: A System for Multi­lingual Patent Retrieval,RI
Cross­Lingual Medical Information Retrieval through Semantic Annotation,RI
An Interactive Beat Tracking and Visualisation System,SON
Applying Recursive CBR for the Customization of Structured Products in an Electronic Shop,CBR
Listen to your Data: Model-Based Sonification for Data Analysis,SON
Cases as terms: A feature term approach to the structured representation of cases,CBR
Design of Virtual 3D Instruments for Musical Interaction,SON
Audio feedback for gesture recognition,SON
SOUND EFFECTS FOR A SILENT COMPUTER SYSTEM,SON
Modal Synthesis of Wind Chime Sounds with Stochastic Event Triggering,SON
A Method for Predicting Solutions in Case-Based Problem Solving,CBR
Representing and Indexing Building Refurbishment Cases for Multiple Retrieval of Adaptable Pieces of Cases,CBR
Cost Estimation of Software Projects through Case Base Reasoning,CBR
Towards using a Single Uniform Metric in Instance-Based Learning,CBR
FISHEARS The Design of a Multimodal Focus and Context System,SON
Towards Improving Case Adaptability with a Genetic Algorithm,CBR
CBR for Document Retrieval: The EALLQ Project,CBR
Retrieving Gases in Structured Domains by Using Goal Dependencies ,CBR
Adaptation Using Constraint Satisfaction Techniques ,CBR
Probability Based Metrics for Nearest Neighbor Classification and Case-Based Reasoning,CBR
Infranet: Circumventing Web Censorship and Surveillance,RI
Using Sounds to Present and Manage Information in Computers,SON
Improved Noise­Tolerant Learning and Generalized Statistical Queries,RI
REMEX - A Case-Based Approach for Reusing Software Measurement Experienceware,CBR
Encouraging Self-Explanation Through Case-Based Tutoring: A Case Study,CBR
A Framework for Defining Distances Between First-Order Logic Objects,ILP
ITR: A Case-Based Travel Advisory System,CBR
ILP: Just Do It,ILP
A Unified Model for Metasearch and the Efficient Evaluation of Retrieval Systems via the Hedge Algorithm,RI
Case-Based Information Retrieval,CBR
Probabilistic Relational Models,ILP
Modular System Design for Multimedial Information Handling,RI
Separating the Cases from the Data: Towards More Flexible Case-Based Reasoning,CBR
Efficient Similarity Determination and Case Construction Techniques for Case-Based Reasoning,CBR
SONIFICATION OF MARKOV CHAIN MONTE CARLO SIMULATIONS,SON
Learning with Abduction,ILP
Secret Sharing with Public Reconstruction,RI
Universally Ideal Secret Sharing Schemes \Lambda,RI
On the Relation between the Context of a Feature and the Domain Theory in Case-Based Planning,CBR
A Case-Based Reasoning Approach to Collaborative Filtering,CBR
Improving Case-Based Recommendation A Collaborative Filtering Approach,CBR
Rule Evaluation Measures: A Unifying View,ILP
SCAN YOUR LIFE: Integrating OCR into your Personal Haystack!,RI
Heterogeneous Web Data Extraction using Ontology Hicham Snoussi,RI
Semi­automatic Acquisition of Machine Translation Knowledge from Examples,RI
Learning Functions Represented as Multiplicity Automata \Lambda,RI
Comparing the Performance of Database Selection Algorithms,RI
PAC Analyses of a Similarity Learning IBL Algorithm,CBR
Inducing Information Extraction Systems for New Languages via Cross­Language Projection,RI
"Towards the Integration of Case-Based, Schema-Based and Model-Based Reasoning for Supporting Complex Design Tasks",CBR
Is CBR Applicable to the Coordination of Search and Rescue Operations? A Feasibility Study,CBR
The Query Complexity of Finding Local Minima in the Lattice 1,RI
Learning Horn Definitions with Equivalence and Membership Queries,ILP
Multimodal Feedback for Tilt Controlled Speed Dependent Automatic Zooming,SON
Integrating Information Resources: A Case Study of Engineering Design Support,CBR
Automatic Case Base Management in a Multi-modal Reasoning System,CBR
Combining Statistical and Relational Methods for Learning in Hypertext Domains,ILP
Experiments in Predicting Biodegradability,ILP
Unearthing virtual history: using diverse interfaces to reveal hidden virtual worlds,SON
Tuning Production Processes through a Case Based Reasoning Approach,CBR
Representing Knowledge for Case-Based Reasoning: The ROCADE System,CBR
A Virtual World for an Autonomous Underwater Vehicle,SON
Using Introspective Learning to Improve Retrieval in CBR: A Case Study in Air Traffic Control ,CBR
Using Statistical Translation Models for Bilingual IR,RI
Integrating Case-Based Reasoning and Hypermedia Documentation: An Application for the Diagnosis of a Welding Robot at Odense Steel Shipyard,CBR
On the use of CBR in optimisation problems such as the TSP,CBR
An Empirical Study of Automated Dictionary Construction for Information Extraction in Three Domains,RI
Tuning Rules by Cases,CBR
Learning Logic Programs with Random Classification Noise,ILP
A model for interaction in exploratory sonification displays,SON
On Sufficient Conditions for Learnability of Logic Programs from Positive Data,ILP
An Explicit Representation of Reasoning Failures,CBR
A Scalable Approach for Question Based Indexing of Encyclopedic Texts,CBR
ForMAT and Parka: A Technology Integration Experiment and Beyond,CBR
Generalizing Refinement Operators to Learn Prenex Conjunctive Normal Forms,ILP
Perspectives: A Declarative Bias Mechanism for Case Retrieval ,CBR
MARSYAS: A framework for audio analysis,RI
A Rule-Based Similarity Measure,CBR
Rsings - or using R to sonify data,SON
A Case Study in Using Linguistic Phrases for Text Categorization on the WWW,RI
Real Time Holter Monitoring of Biomedical Signals,SON
Learning Query Behavior in the Haystack System,RI
Design and Implementation of an Object-oriented Media Com position Framework,SON
An Auditory Display System for Aiding Interjoint Coordination,SON
Handling Vague and Qualitative Criteria in Case-Based Reasoning Applications,CBR
"MANIFOLD COMPOSITIONS, MUSIC VISUALIZATION, AND SCIENTIFIC SONIFICATION IN AN IMMERSIVE VIRTUAL-REALITY ENVIRONMENT",SON
Tcl Commands as Media in a Distributed Multimedia Toolkit ,RI
Learning Word Segmentation Rules for Tag Prediction,ILP
A Strong Complete Schema for Inductive Functional Logic Programming,ILP
A Series of Three Mixed Reality Workshops: Sounding Out Sound in Mixed Reality Environment,SON
Diary in the sky: A spatial audio display for a mobile calendar,SON
CASE-DELIVERER: Making Cases Relevant to the Task at Hand,CBR
Integrating Conversational Case Retrieval with Generative Planning,CBR
SOUND ANALYSIS USING MPEG COMPRESSED AUDIO,RI
Learning Strategies for Explanation Patterns: Basic Game Patterns with Application to Chess,CBR
A Logical Database Mining Query Language,ILP
Image Background Search: Combining Object Detection Techniques into Content­Based Similarity Image Retrieval(CBSIR) Systems,RI
Completing Inverse Entailment,ILP
Distance Between Herbrand Interpretations: A Measure for Approximations to a Target Concept,ILP
CLIR using a Probabilistic Translation Model based on Web Documents,RI
DOM-ArC: An Active Decision Support System for Quality Assessment of Cases,CBR
Analogical Prediction,ILP
Using Abstraction Schemata in Inductive Logic Programming,ILP
Using k-d Trees to Improve the Retrieval Step in Case-Based Reasoning,CBR
A Mirror Neuron System for Syntax Acquisition,RI
In Search of a Standards Based Approach to Hybrid Performance Monitoring,SON
An Application of Case-Based Reasoning to the Adaptive Management of Wireless Networks,CBR
Surviving the Information Explosion: How People Find Their Electronic Information,RI
General Bounds on Statistical Query Learning and PAC Learning with Noise via Hypothesis Boosting,RI
The Impact of Database Selection on Distributed Searching,RI
"The Var se System, Hybrid Auditory Interfaces, and Satellite-Ground Control: Using Auditory Icons and SoniÞcation in a Complex, Supervisory Control System",SON
"Audio Analysis using the Discrete Wavelet Transform George Tzanetakis, Georg Essl, Perry Cook",RI
Activating Case-Based Reasoning with Active Databases,CBR
Displaying Dynamic Information,RI
On the Sample Complexity of Noise­Tolerant Learning,RI
Explanation- Driven Case- Based Reasoning,CBR
Solving Selection Problems Using Preference Relation Based on Bayesian Learning,ILP
"A Unified Model for Metasearch, Pooling, and System Evaluation",RI
Case-Based Reasoning with Confidence,CBR
Normal Programs and Multiple Predicate,ILP
Static and Dynamic Information Organization with Star Clusters,RI
Combining Medical Records with Case-Based Reasoning in a Mixed Paradigm Design -- TROPIX Architecture & Implementation,CBR
Learning to Improve Case Adaptation by Introspective Reasoning and CBR,CBR
Strongly Typed Inductive Concept Learning,ILP
A Case-Based Personal Travel Assistant for Elaborating User Requirements and Assessing Offers,CBR
Relational Distance-Based Clustering,ILP
The Case for Graph-Structured Representations,CBR
Term Comparisons in First-Order Similarity Measures,ILP
KBS Maintenance as Learning Two-Tiered Domain Representation ,CBR
A Unified Long-Term Memory System,CBR
Inductive Logic Programming for Natural Language Processing,ILP
A Bounded Search Space of Clausal Theories,ILP
Integrity Constraints in ILP Using a Monte Carlo Approach,ILP
Qualitative Knowledge to Support Reasoning About Cases,CBR
An Underlying Memory Model to Support Case Retrieval,CBR
A Logical Framework for Graph Theoretical Decision Tree Learning,ILP
Clustering Large Datasets in Arbitrary Metric Spaces,RI
When Experience Is Wrong: Examining CBR for Changing Tasks and Environments ,CBR
Experimenting with Haptic Attributes for Display of Abstract Data,SON
A Knowledge-Level Task Model of Adaptation in Case-Based Reasoning,CBR
Collaborative Case-Based Recommender Systems,CBR
Learning Structurally Indeterminate Clauses,ILP
Automatic Musical Genre Classification Of Audio Signals,RI
"A priori Selection of Mesh Densities for Adaptive Finite Element Analysis, using a Case-Based Reasoning Approach",CBR
TIME-VARYING FILTER IN NON-UNIFORM BLOCK CONVOLUTION,SON
Looking Under the Hood: Tools for Diagnosing Your Question Answering Engine 1,RI
BABBLE ONLINE: APPLYING STATISTICS AND DESIGN TO SONIFY THE INTERNET,SON
Evaluating Multi­lingual Information Retrieval and Clustering at ULIS,RI
Deleting and Building Sort Out Techniques for Case Base Maintenance,CBR
Learning Programs in the Event Calculus,ILP
"Relations between Customer Requirements, Performance Measures, and General Case Properties for Case Base Maintenance",CBR
Case-Based Reasoning for Estuarine Model Design,CBR
BROWSING MODES FOR EXPLORING SONIFIED LINE GRAPHS,SON
Mining Association Rules in Multiple Relations,ILP
A framework for audio analysis based on classification and temporal segmentation,RI
"MANIPULATION, ANALYSIS AND RETRIEVAL SYSTEMS FOR AUDIO SIGNALS",RI
Reasoning with Reasons in Case-Based Comparisons,CBR
Learning Unions of High Dimensional Boxes over the Reals,RI
Using Learned Extraction Patterns for Text Classification,RI
Specification and Simulation of Statistical Query Algorithms for Efficiency and Noise Tolerance,RI
A Multimodal Electronic Travel Aid Device,SON
Case-Based Reasoning in a Simulation Environment for Biological Neural Networks ,CBR
Reexamining the Cluster Hypothesis: Scatter/Gather on Retrieval Results \Lambda,RI
Function-Free Horn Clauses Are Hard to Approximate,ILP
Rendering Localized Spatial Audio in a Virtual Auditory Space,SON
On the Automatic Generation of Case Libraries by Chunking Chess Games,CBR
Near-Critical Path Analysis:  A Tool for Parallel Program Optimization,SON
Separating the Power of Monotone Span Programs over Different Fields,RI
Automating the Construction of Authority Files in Digital Libraries: A Case Study,RI
